product,slug,category_code,category_name,subcategory,tvl_usd,tvl_btc,source,method,offchain,double_count_note,include_net,justification
Curator BTC vaults: MEV Capital,mev-capital,C0,Context: BTC collateral / ~0% lending (not yield),Curated BTC lending vaults (~0%),156030,1.92,DefiLlama /protocol/mev-capital (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC-denominated lending vaults (Morpho/Euler): ~0% base; plan puts them in C0 context.
Curator BTC vaults: Tau Labs,tau-labs,C0,Context: BTC collateral / ~0% lending (not yield),Curated BTC lending vaults (~0%),87566,1.08,DefiLlama /protocol/tau-labs (2026-09-20 00:00 UTC point),token-breakdown,0,,0,BTC lending vaults (C0).
WBTC,wbtc,EXCL,Excluded (wrapper/bridge/venue/USD-yield),bare wrapper,9475165995,116720.86,DefiLlama /protocol/wbtc (2026-09-20 00:00 UTC point),token-breakdown,0,,0,Excluded: bare wrapper
cbBTC,coinbase-bridge,EXCL,Excluded (wrapper/bridge/venue/USD-yield),bare wrapper,8000533219,98555.44,DefiLlama /protocol/coinbase-bridge (2026-09-20 00:00 UTC point),token-breakdown,0,,0,Excluded: bare wrapper
BTCB,binance-bitcoin,EXCL,Excluded (wrapper/bridge/venue/USD-yield),bare wrapper,5536994294,68208.06,DefiLlama /protocol/binance-bitcoin (2026-09-20 00:00 UTC point),token-breakdown,0,,0,Excluded: bare wrapper
Kraken kBTC,kraken-bitcoin,EXCL,Excluded (wrapper/bridge/venue/USD-yield),bare wrapper,770245147,9488.35,DefiLlama /protocol/kraken-bitcoin (2026-09-20 00:00 UTC point),token-breakdown,0,,0,Excluded: bare wrapper
FBTC,function-fbtc,EXCL,Excluded (wrapper/bridge/venue/USD-yield),bare wrapper,682368759,8405.83,DefiLlama /protocol/function-fbtc (2026-09-20 00:00 UTC point),token-breakdown,0,,0,Excluded: bare wrapper
Unit UBTC,unit,EXCL,Excluded (wrapper/bridge/venue/USD-yield),bare wrapper/bridge,553890072,6823.15,DefiLlama /protocol/unit (2026-09-20 00:00 UTC point),token-breakdown,0,,0,Excluded: bare wrapper/bridge
SolvBTC (base),solvbtc,EXCL,Excluded (wrapper/bridge/venue/USD-yield),bare wrapper,522221939,6433.05,DefiLlama /protocol/solvbtc (2026-09-20 00:00 UTC point),token-breakdown,0,,0,Excluded: bare wrapper
Lorenzo enzoBTC,lorenzo-enzobtc,EXCL,Excluded (wrapper/bridge/venue/USD-yield),bare wrapper,489083895,6024.83,DefiLlama /protocol/lorenzo-enzobtc (2026-09-20 00:00 UTC point),token-breakdown,0,,0,Excluded: bare wrapper
Merlin's Seal (M-BTC),merlins-seal,EXCL,Excluded (wrapper/bridge/venue/USD-yield),Merlin chain bridge custody; MERL points campaign ended 2024,434485938,5352.26,DefiLlama /protocol/merlins-seal (2026-09-20 00:00 UTC point),token-breakdown,0,,0,Excluded: Merlin chain bridge custody; MERL points campaign ended 2024
tBTC,tbtc,EXCL,Excluded (wrapper/bridge/venue/USD-yield),bare wrapper,355743654,4382.27,DefiLlama /protocol/tbtc (2026-09-20 00:00 UTC point),token-breakdown,0,,0,Excluded: bare wrapper
Nexus BTC,nexus-btc,EXCL,Excluded (wrapper/bridge/venue/USD-yield),bare wrapper,229219469,2823.66,DefiLlama /protocol/nexus-btc (2026-09-20 00:00 UTC point),token-breakdown,0,,0,Excluded: bare wrapper
Stacks sBTC,stacks-sbtc,EXCL,Excluded (wrapper/bridge/venue/USD-yield),bare wrapper; Dual Stacking enrollment not measurable,201079981,2477.03,DefiLlama /protocol/stacks-sbtc (2026-09-20 00:00 UTC point),token-breakdown,0,,0,Excluded: bare wrapper; Dual Stacking enrollment not measurable
BTC.b,lombard-btc.b,EXCL,Excluded (wrapper/bridge/venue/USD-yield),bare wrapper,172488945,2124.82,DefiLlama /protocol/lombard-btc.b (2026-09-20 00:00 UTC point),token-breakdown,0,,0,Excluded: bare wrapper
Bitget bgBTC,bitget-bgbtc,EXCL,Excluded (wrapper/bridge/venue/USD-yield),bare wrapper (Earn counted separately),115479384,1422.55,DefiLlama /protocol/bitget-bgbtc (2026-09-20 00:00 UTC point),token-breakdown,0,,0,Excluded: bare wrapper (Earn counted separately)
Echo bridge,echo-bridge,EXCL,Excluded (wrapper/bridge/venue/USD-yield),bridge,96867180,1193.27,DefiLlama /protocol/echo-bridge (2026-09-20 00:00 UTC point),token-breakdown,0,,0,Excluded: bridge
Circle cirBTC,circle-bitcoin,EXCL,Excluded (wrapper/bridge/venue/USD-yield),bare wrapper,73821263,909.38,DefiLlama /protocol/circle-bitcoin (2026-09-20 00:00 UTC point),token-breakdown,0,,0,Excluded: bare wrapper
OKX xBTC,okx-xbtc,EXCL,Excluded (wrapper/bridge/venue/USD-yield),bare wrapper,66411075,818.09,DefiLlama /protocol/okx-xbtc (2026-09-20 00:00 UTC point),token-breakdown,0,,0,Excluded: bare wrapper
Bitlayer YBTC,bitlayer-ybtc-family,EXCL,Excluded (wrapper/bridge/venue/USD-yield),"bridge (""Bridge between Bitcoin and Bitlayer"")",32529429,400.72,DefiLlama /protocol/bitlayer-ybtc-family (2026-09-20 00:00 UTC point),token-breakdown,0,,0,"Excluded: bridge (""Bridge between Bitcoin and Bitlayer"")"
Katana Vault Bridge (WBTC),vault-bridge,EXCL,Excluded (wrapper/bridge/venue/USD-yield),bridge,14930042,183.92,DefiLlama /protocol/vault-bridge (2026-09-20 00:00 UTC point),token-breakdown,0,,0,Excluded: bridge
Mezo bridge,mezo-bridge,EXCL,Excluded (wrapper/bridge/venue/USD-yield),bridge,13728284,169.11,DefiLlama /protocol/mezo-bridge (2026-09-20 00:00 UTC point),token-breakdown,0,,0,Excluded: bridge
StackingDAO (sBTC),stackingdao,EXCL,Excluded (wrapper/bridge/venue/USD-yield),STX liquid staking; sBTC is reward inventory,12493955,153.91,DefiLlama /protocol/stackingdao (2026-09-20 00:00 UTC point),token-breakdown,0,,0,Excluded: STX liquid staking; sBTC is reward inventory
Pendle (BTC PT/YT),pendle-v2,EXCL,Excluded (wrapper/bridge/venue/USD-yield),yield-tokenization venue: BTC is the underlying LSTs already counted,7180539,88.45,DefiLlama /protocol/pendle-v2 (2026-09-20 00:00 UTC point),token-breakdown,0,,0,Excluded: yield-tokenization venue: BTC is the underlying LSTs already counted
exSat bridge,exsat-bridge,EXCL,Excluded (wrapper/bridge/venue/USD-yield),bridge,3156550,38.88,DefiLlama /protocol/exsat-bridge (2026-09-20 00:00 UTC point),token-breakdown,0,,0,Excluded: bridge
BOB bridge,bob-bridge,EXCL,Excluded (wrapper/bridge/venue/USD-yield),bridge,1018083,12.54,DefiLlama /protocol/bob-bridge (2026-09-20 00:00 UTC point),token-breakdown,0,,0,Excluded: bridge
BTCST,btcst,EXCL,Excluded (wrapper/bridge/venue/USD-yield),"hashrate token, not BTC yield",746304,9.19,DefiLlama /protocol/btcst (2026-09-20 00:00 UTC point),token-breakdown,0,,0,"Excluded: hashrate token, not BTC yield"
YBTC.B,ybtc.b,EXCL,Excluded (wrapper/bridge/venue/USD-yield),bridge,155099,1.91,DefiLlama /protocol/ybtc.b (2026-09-20 00:00 UTC point),token-breakdown,0,,0,Excluded: bridge
RateX,ratex-dex,EXCL,Excluded (wrapper/bridge/venue/USD-yield),yield-trading venue,84760,1.04,DefiLlama /protocol/ratex-dex (2026-09-20 00:00 UTC point),token-breakdown,0,,0,Excluded: yield-trading venue
